144,220,384,220,384,247,144,247,0.9996081
144,105,384,105,384,134,144,134,0.999605
144,383,208,383,208,409,144,409,0.99958795
144,409,272,409,272,438,144,438,0.9995486
144,80,272,80,272,105,144,105,0.99953854
144,21,464,21,464,48,144,48,0.99951696
144,137,448,137,448,162,144,162,0.9995078
144,0,432,0,432,22,144,22,0.99950397
144,299,272,299,272,353,144,353,0.9994998
464,188,560,188,560,217,464,217,0.9994966
368,408,560,408,560,435,368,435,0.9994943
144,48,416,48,416,77,144,77,0.99949086
384,244,560,244,560,273,384,273,0.9994879
352,300,560,300,560,352,352,352,0.99948287
480,273,560,273,560,302,480,302,0.9994814
432,79,560,79,560,105,432,105,0.9994778
448,350,560,350,560,378,448,378,0.9994772
144,192,176,192,176,216,144,216,0.99947363
416,381,560,381,560,407,416,407,0.9994721
368,162,560,162,560,189,368,189,0.9994716
144,354,304,354,304,379,144,379,0.9994703
